Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,3.625,3.8125,3.625,3.625,1.9010463953018188,2000
1973-05-04,3.625,3.8125,3.625,3.625,1.9010463953018188,1600
1973-05-07,3.625,3.8125,3.625,3.625,1.9010463953018188,1600
1973-05-08,3.6875,3.875,3.6875,3.6875,1.9338228702545166,1600
1973-05-09,3.6875,3.875,3.6875,3.6875,1.9338228702545166,6000
1973-05-10,3.6875,3.875,3.6875,3.6875,1.9338228702545166,2000
1973-05-11,3.6875,3.875,3.6875,3.6875,1.9338228702545166,1200
1973-05-14,3.6875,3.8125,3.6875,3.6875,1.9338228702545166,6000
1973-05-15,3.6875,3.875,3.6875,3.6875,1.9338228702545166,1600
1973-05-16,3.75,3.9375,3.75,3.75,1.9666000604629517,708800
1973-05-17,4.0625,4.25,4.0625,4.0625,2.1304829120635986,6000
1973-05-18,3.6875,3.875,3.6875,3.6875,1.9338228702545166,6800
1973-05-21,3.5625,3.75,3.5625,3.5625,1.8682702779769897,9200
1973-05-22,3.625,3.8125,3.625,3.625,1.9010463953018188,3200
1973-05-23,3.75,3.9375,3.75,3.75,1.9666000604629517,2800
1973-05-24,3.875,4.0625,3.875,3.875,2.0321531295776367,8000
1973-05-25,4.0625,4.25,4.0625,4.0625,2.1304829120635986,3200
1973-05-29,4.0625,4.25,4.0625,4.0625,2.1304829120635986,7200
1973-05-30,4.0,4.1875,4.0,4.0,2.0977063179016113,4400
1973-06-01,3.9375,4.125,3.9375,3.9375,2.0649304389953613,9200
1973-06-04,3.6875,3.9375,3.6875,3.6875,1.9338228702545166,6400
1973-06-05,3.75,3.9375,3.75,3.75,1.9666000604629517,2800
1973-06-06,3.6875,3.875,3.6875,3.6875,1.9338228702545166,2800
1973-06-07,3.6875,3.875,3.6875,3.6875,1.9338228702545166,3200
1973-06-08,3.8125,4.0,3.8125,3.8125,1.999375343322754,3600
1973-06-11,3.75,3.9375,3.75,3.75,1.9666000604629517,7600
1973-06-12,3.75,3.9375,3.75,3.75,1.9666000604629517,5200
1973-06-13,3.75,3.9375,3.75,3.75,1.9666000604629517,5600
1973-06-15,3.75,3.9375,3.75,3.75,1.9666000604629517,7200
1973-06-18,3.75,3.9375,3.75,3.75,1.9666000604629517,14800
1973-06-19,3.6875,3.875,3.6875,3.6875,1.9338228702545166,3200
1973-06-20,3.6875,3.875,3.6875,3.6875,1.9338228702545166,2000
1973-06-21,3.625,3.8125,3.625,3.625,1.9010463953018188,4000
1973-06-22,3.5,3.6875,3.5,3.5,1.8354933261871338,13600
1973-06-25,3.5,3.6875,3.5,3.5,1.8354933261871338,1600
1973-06-26,3.5,3.6875,3.5,3.5,1.8354933261871338,2400
1973-06-27,3.5,3.6875,3.5,3.5,1.8354933261871338,1200
1973-06-28,3.5,3.6875,3.5,3.5,1.8354933261871338,2000
1973-06-29,3.3125,3.5,3.3125,3.3125,1.7371633052825928,10800
1973-07-02,3.3125,3.5,3.3125,3.3125,1.7371633052825928,84800
1973-07-03,3.375,3.5625,3.375,3.375,1.7699402570724487,4800
1973-07-05,3.375,3.5625,3.375,3.375,1.7699402570724487,400
1973-07-06,3.375,3.5625,3.375,3.375,1.7699402570724487,14400
1973-07-09,3.375,3.5625,3.375,3.375,1.7699402570724487,26000
1973-07-10,3.4375,3.625,3.4375,3.4375,1.8027164936065674,2400
1973-07-11,3.625,3.8125,3.625,3.625,1.9010463953018188,7200
1973-07-12,3.5,3.6875,3.5,3.5,1.8354933261871338,7200
1973-07-13,3.5,3.6875,3.5,3.5,1.8354933261871338,4400
1973-07-16,3.5,3.6875,3.5,3.5,1.8354933261871338,400
1973-07-17,3.5,3.6875,3.5,3.5,1.8354933261871338,400
1973-07-18,3.5,3.6875,3.5,3.5,1.8354933261871338,6400
1973-07-19,3.6875,3.875,3.6875,3.6875,1.9338228702545166,2800
1973-07-20,3.75,3.9375,3.75,3.75,1.9666000604629517,6800
1973-07-23,3.75,3.9375,3.75,3.75,1.9666000604629517,2800
1973-07-24,3.6875,3.875,3.6875,3.6875,1.9338228702545166,4000
1973-07-25,3.875,4.0625,3.875,3.875,2.0321531295776367,5200
1973-07-26,3.875,4.0625,3.875,3.875,2.0321531295776367,400
1973-07-27,3.8125,4.0,3.8125,3.8125,1.999375343322754,9600
1973-07-30,3.8125,4.0,3.8125,3.8125,1.999375343322754,9200
1973-07-31,3.8125,4.0,3.8125,3.8125,1.999375343322754,400
1973-08-01,3.75,3.9375,3.75,3.75,1.9666000604629517,400
1973-08-02,3.6875,3.875,3.6875,3.6875,1.9338228702545166,1600
1973-08-06,3.625,3.8125,3.625,3.625,1.9010463953018188,7200
1973-08-07,3.6875,3.875,3.6875,3.6875,1.9338228702545166,400
1973-08-08,3.625,3.8125,3.625,3.625,1.9010463953018188,1600
1973-08-09,3.625,3.8125,3.625,3.625,1.9010463953018188,1200
1973-08-10,3.5625,3.75,3.5625,3.5625,1.8682702779769897,5200
1973-08-13,3.5625,3.75,3.5625,3.5625,1.8682702779769897,1200
1973-08-14,3.625,3.8125,3.625,3.625,1.9010463953018188,3200
1973-08-15,3.625,3.8125,3.625,3.625,1.9010463953018188,2400
1973-08-16,3.625,3.8125,3.625,3.625,1.9010463953018188,800
1973-08-17,3.6875,3.875,3.6875,3.6875,1.9338228702545166,12000
1973-08-20,3.6875,3.875,3.6875,3.6875,1.9338228702545166,12400
1973-08-21,3.75,3.9375,3.75,3.75,1.9666000604629517,7600
1973-08-22,3.8125,4.0,3.8125,3.8125,1.999375343322754,3200
1973-08-23,3.875,4.0625,3.875,3.875,2.0321531295776367,800
1973-08-24,3.8125,4.0,3.8125,3.8125,1.999375343322754,2400
1973-08-27,3.8125,4.0,3.8125,3.8125,1.999375343322754,8400
1973-08-28,3.8125,4.0,3.8125,3.8125,1.999375343322754,7600
1973-08-29,3.8125,4.0,3.8125,3.8125,1.999375343322754,2800
1973-08-30,3.8125,4.0,3.8125,3.8125,1.999375343322754,4800
1973-08-31,3.8125,4.0,3.8125,3.8125,1.999375343322754,5200
