Date,Open,High,Low,Close,Adj Close,Volume
1993-08-06,3.8125,4.375,3.75,3.8125,3.8125,2800000
1993-08-09,3.625,3.875,3.625,3.625,3.625,502200
1993-08-10,3.6875,3.75,3.5,3.6875,3.6875,73400
1993-08-11,3.75,3.875,3.625,3.75,3.75,352600
1993-08-12,3.75,3.875,3.75,3.75,3.75,115200
1993-08-13,3.875,3.875,3.75,3.875,3.875,68600
1993-08-16,3.75,3.875,3.75,3.75,3.75,53000
1993-08-17,3.75,3.875,3.625,3.75,3.75,132800
1993-08-18,3.875,3.875,3.625,3.875,3.875,21000
1993-08-19,3.875,3.875,3.625,3.875,3.875,11400
1993-08-20,3.875,3.875,3.625,3.875,3.875,3000
1993-08-23,3.625,3.875,3.625,3.625,3.625,1400
1993-08-24,3.75,3.875,3.625,3.75,3.75,971000
1993-08-25,3.75,3.875,3.75,3.75,3.75,132800
1993-08-26,3.75,3.875,3.75,3.75,3.75,77200
1993-08-27,3.8125,3.875,3.75,3.8125,3.8125,75000
1993-08-30,3.8125,3.8125,3.75,3.8125,3.8125,32400
1993-08-31,3.75,3.8125,3.75,3.75,3.75,70200
1993-09-01,3.8125,3.8125,3.75,3.8125,3.8125,12000
1993-09-02,3.6875,3.8125,3.6875,3.6875,3.6875,42200
1993-09-03,3.8125,3.8125,3.625,3.8125,3.8125,13400
1993-09-07,3.8125,3.8125,3.75,3.8125,3.8125,3600
1993-09-08,3.625,3.8125,3.5,3.625,3.625,17600
1993-09-09,3.5,3.625,3.5,3.5,3.5,13000
1993-09-10,3.625,3.625,3.625,3.625,3.625,1000
1993-09-13,3.625,3.75,3.625,3.625,3.625,29400
1993-09-14,3.625,3.8125,3.625,3.625,3.625,31800
1993-09-15,3.75,3.8125,3.625,3.75,3.75,800
1993-09-16,3.625,3.875,3.625,3.625,3.625,2800
1993-09-17,3.75,3.875,3.625,3.75,3.75,19800
1993-09-20,3.875,3.875,3.625,3.875,3.875,5800
1993-09-21,3.625,3.625,3.625,3.625,3.625,2800
1993-09-22,3.625,3.8125,3.5,3.625,3.625,73400
1993-09-23,3.4375,3.625,3.4375,3.4375,3.4375,18000
1993-09-24,3.625,3.625,3.375,3.625,3.625,9200
1993-09-27,3.4375,3.625,3.4375,3.4375,3.4375,6200
1993-09-28,3.5625,3.625,3.5,3.5625,3.5625,126400
1993-09-29,3.75,3.75,3.5,3.75,3.75,2600
1993-09-30,3.6875,3.75,3.5,3.6875,3.6875,14000
1993-10-01,3.75,3.75,3.625,3.75,3.75,1200
1993-10-04,3.75,3.75,3.5,3.75,3.75,61600
1993-10-05,3.75,3.75,3.625,3.75,3.75,10200
1993-10-06,3.75,3.75,3.625,3.75,3.75,4400
1993-10-07,3.875,3.875,3.625,3.875,3.875,97400
1993-10-08,3.875,3.875,3.75,3.875,3.875,14600
1993-10-11,3.875,3.875,3.75,3.875,3.875,9600
1993-10-12,4.25,4.25,3.75,4.25,4.25,62200
1993-10-13,4.25,4.25,3.875,4.25,4.25,4800
1993-10-14,4.375,4.375,3.875,4.375,4.375,10600
1993-10-15,4.375,4.375,3.875,4.375,4.375,4600
1993-10-18,4.375,4.375,3.875,4.375,4.375,6800
1993-10-19,4.125,4.375,4.125,4.125,4.125,78400
1993-10-20,4.125,4.5,4.125,4.125,4.125,29400
1993-10-21,4.25,4.5,4.125,4.25,4.25,21400
1993-10-22,4.5,4.5,4.125,4.5,4.5,46200
1993-10-25,4.25,4.5,4.25,4.25,4.25,19600
1993-10-26,4.25,4.5,4.25,4.25,4.25,25400
1993-10-27,4.5,4.5,4.25,4.5,4.5,20400
1993-10-28,4.5,4.5,4.25,4.5,4.5,33200
1993-10-29,4.25,4.5,4.25,4.25,4.25,36400
1993-11-01,4.3125,4.5,4.3125,4.3125,4.3125,25400
1993-11-02,4.25,4.5,4.25,4.25,4.25,29600
1993-11-03,4.25,4.5,4.25,4.25,4.25,62400
1993-11-04,4.25,4.5,4.25,4.25,4.25,22000
1993-11-05,4.25,4.5,4.25,4.25,4.25,9200
1993-11-08,4.5,4.5,4.25,4.5,4.5,2400
1993-11-09,4.25,4.5,4.25,4.25,4.25,10000
1993-11-10,4.25,4.5,4.0,4.25,4.25,32200
1993-11-11,3.9375,4.25,3.875,3.9375,3.9375,44400
1993-11-12,4.125,4.125,3.875,4.125,4.125,5200
1993-11-15,3.875,4.125,3.875,3.875,3.875,5200
1993-11-16,3.875,3.875,3.875,3.875,3.875,200
1993-11-17,3.875,4.125,3.875,3.875,3.875,92000
1993-11-18,4.0,4.0,4.0,4.0,4.0,32200
1993-11-19,4.0625,4.125,4.0,4.0625,4.0625,45400
1993-11-22,4.0,4.0,4.0,4.0,4.0,16800
1993-11-23,4.0,4.0,3.875,4.0,4.0,6000
1993-11-24,3.875,3.875,3.875,3.875,3.875,20200
1993-11-26,4.125,4.125,3.9375,4.125,4.125,4400
1993-11-29,4.0,4.25,3.875,4.0,4.0,9400
1993-11-30,3.875,4.25,3.875,3.875,3.875,15000
1993-12-01,4.125,4.25,3.875,4.125,4.125,61200
1993-12-02,4.125,4.25,3.875,4.125,4.125,4600
1993-12-03,3.875,4.25,3.875,3.875,3.875,400
1993-12-06,3.875,3.875,3.875,3.875,3.875,5600
1993-12-07,4.0,4.0,3.875,4.0,4.0,4200
1993-12-08,3.75,3.875,3.6875,3.75,3.75,377000
1993-12-09,3.75,4.125,3.75,3.75,3.75,3600
1993-12-10,4.125,4.125,3.75,4.125,4.125,55400
1993-12-13,3.875,4.0,3.75,3.875,3.875,8400
1993-12-14,3.75,4.125,3.625,3.75,3.75,2200
1993-12-15,4.125,4.125,3.625,4.125,4.125,1600
1993-12-16,4.125,4.125,4.125,4.125,4.125,0
1993-12-17,3.625,4.0,3.625,3.625,3.625,4400
1993-12-20,4.125,4.125,4.125,4.125,4.125,200
1993-12-21,4.125,4.125,3.625,4.125,4.125,49600
1993-12-22,4.125,4.125,4.125,4.125,4.125,0
1993-12-23,4.0,4.0,3.625,4.0,4.0,1000
1993-12-27,3.625,4.125,3.625,3.625,3.625,5200
1993-12-28,3.625,4.0,3.625,3.625,3.625,10400
1993-12-29,3.625,3.9375,3.625,3.625,3.625,3200
1993-12-30,4.125,4.125,4.125,4.125,4.125,200
1993-12-31,4.0,4.25,3.875,4.0,4.0,62400
1994-01-03,4.125,4.25,4.0,4.125,4.125,11000
1994-01-04,4.0,4.375,4.0,4.0,4.0,3000
1994-01-05,4.421899795532227,4.5,4.0,4.421899795532227,4.421899795532227,42600
1994-01-06,5.625,6.125,4.625,5.625,5.625,1020400
1994-01-07,5.375,6.125,5.25,5.375,5.375,178800
1994-01-10,5.5,5.625,5.375,5.5,5.5,102600
1994-01-11,5.5625,5.625,5.375,5.5625,5.5625,166000
1994-01-12,5.6875,5.75,5.5,5.6875,5.6875,15600
1994-01-13,5.5,5.875,5.5,5.5,5.5,3400
1994-01-14,5.875,5.875,5.5,5.875,5.875,50000
1994-01-17,5.875,5.875,5.5,5.875,5.875,16000
1994-01-18,5.75,5.875,5.5,5.75,5.75,52800
1994-01-19,5.875,5.875,5.5,5.875,5.875,53400
1994-01-20,5.625,6.0,5.625,5.625,5.625,23200
1994-01-21,6.0,6.0,5.625,6.0,6.0,16600
1994-01-24,5.625,5.875,5.625,5.625,5.625,28600
1994-01-25,6.0,6.0,5.625,6.0,6.0,90200
1994-01-26,5.75,6.0,5.625,5.75,5.75,53600
1994-01-27,5.8125,5.8125,5.625,5.8125,5.8125,7400
1994-01-28,5.5,5.625,5.5,5.5,5.5,1800
1994-01-31,5.625,5.6875,5.625,5.625,5.625,238000
1994-02-01,6.0,6.0,6.0,6.0,6.0,2000
1994-02-02,5.8125,6.0,5.5,5.8125,5.8125,5200
1994-02-03,5.8125,5.8125,5.8125,5.8125,5.8125,0
1994-02-04,5.5,6.0,5.5,5.5,5.5,4000
1994-02-07,5.5,5.625,5.5,5.5,5.5,3800
1994-02-08,5.5,5.5,5.5,5.5,5.5,0
1994-02-09,6.0,6.0,5.5,6.0,6.0,2800
1994-02-10,6.0,6.0,5.5,6.0,6.0,1800
1994-02-11,5.5,5.5,5.5,5.5,5.5,200
1994-02-14,5.5,6.0,5.5,5.5,5.5,8000
1994-02-15,6.0,6.0,5.5625,6.0,6.0,2800
1994-02-16,6.0,6.0,5.5,6.0,6.0,1800
1994-02-17,5.5,5.5,5.5,5.5,5.5,200
1994-02-18,5.5,5.875,5.5,5.5,5.5,8000
1994-02-22,5.25,5.625,5.25,5.25,5.25,25000
1994-02-23,5.25,5.25,5.25,5.25,5.25,2600
1994-02-24,5.25,5.75,5.0,5.25,5.25,18800
1994-02-25,5.125,5.1875,5.0,5.125,5.125,147400
1994-02-28,5.375,5.375,5.0,5.375,5.375,6600
1994-03-01,5.125,5.375,5.0,5.125,5.125,3800
1994-03-02,4.75,5.375,4.75,4.75,4.75,18200
1994-03-03,4.5,5.25,4.4375,4.5,4.5,27800
1994-03-04,4.5,4.75,4.375,4.5,4.5,21000
1994-03-07,4.75,4.75,4.4375,4.75,4.75,29000
1994-03-08,4.8125,4.875,4.8125,4.8125,4.8125,600
1994-03-09,5.0,5.0,4.8125,5.0,5.0,38600
1994-03-10,4.75,5.25,4.75,4.75,4.75,4200
1994-03-11,4.75,4.75,4.75,4.75,4.75,200
1994-03-14,4.75,4.75,4.75,4.75,4.75,1000
1994-03-15,5.25,5.25,5.25,5.25,5.25,9000
1994-03-16,5.25,5.25,5.25,5.25,5.25,7000
1994-03-17,5.25,5.25,5.25,5.25,5.25,0
1994-03-18,5.5,5.5,5.25,5.5,5.5,18800
1994-03-21,5.5,5.625,5.125,5.5,5.5,1800
1994-03-22,5.25,5.3125,5.125,5.25,5.25,4000
1994-03-23,5.125,5.125,5.125,5.125,5.125,3600
1994-03-24,5.25,5.25,4.875,5.25,5.25,21000
1994-03-25,5.125,5.125,5.125,5.125,5.125,1600
1994-03-28,5.25,5.25,5.25,5.25,5.25,6600
1994-03-29,5.125,5.25,4.875,5.125,5.125,9200
1994-03-30,5.0,5.1875,4.875,5.0,5.0,25000
1994-03-31,4.75,4.75,4.375,4.75,4.75,23600
1994-04-04,4.25,4.5,4.125,4.25,4.25,49400
1994-04-05,4.625,4.625,4.5,4.625,4.625,8200
1994-04-06,4.625,4.625,4.5,4.625,4.625,6200
1994-04-07,4.125,4.125,4.125,4.125,4.125,3200
1994-04-08,4.5,4.5,4.5,4.5,4.5,200
1994-04-11,4.125,4.125,4.125,4.125,4.125,2000
1994-04-12,4.125,4.5,4.125,4.125,4.125,1600
1994-04-13,4.25,4.5,4.125,4.25,4.25,2400
1994-04-14,4.5,4.5,4.125,4.5,4.5,1200
1994-04-15,4.5,4.5,4.5,4.5,4.5,200
1994-04-18,4.5,4.5,4.5,4.5,4.5,0
1994-04-19,4.125,4.125,4.125,4.125,4.125,400
1994-04-20,4.125,4.125,4.125,4.125,4.125,200
1994-04-21,4.5,4.5,4.5,4.5,4.5,200
1994-04-22,4.125,4.1875,4.125,4.125,4.125,400
1994-04-25,4.5,4.5,4.5,4.5,4.5,200
1994-04-26,4.125,4.218800067901611,4.125,4.125,4.125,2200
1994-04-28,4.125,4.125,4.125,4.125,4.125,0
1994-04-29,4.125,4.125,4.125,4.125,4.125,0
1994-05-02,4.125,4.125,4.125,4.125,4.125,200
1994-05-03,4.125,4.125,4.125,4.125,4.125,400
1994-05-04,4.5,4.5,4.5,4.5,4.5,200
1994-05-05,4.125,4.25,4.125,4.125,4.125,2200
1994-05-06,4.125,4.125,4.125,4.125,4.125,0
1994-05-09,4.125,4.125,4.125,4.125,4.125,0
1994-05-10,4.3125,4.3125,4.25,4.3125,4.3125,10000
1994-05-11,4.125,4.3125,4.125,4.125,4.125,15000
1994-05-12,4.125,4.125,4.125,4.125,4.125,200
1994-05-13,4.125,4.125,4.125,4.125,4.125,0
1994-05-16,4.125,4.125,4.125,4.125,4.125,0
1994-05-17,4.125,4.25,4.125,4.125,4.125,2000
1994-05-18,4.125,4.125,4.125,4.125,4.125,0
1994-05-19,4.125,4.125,4.125,4.125,4.125,1000
1994-05-20,4.125,4.125,4.125,4.125,4.125,400
1994-05-23,4.0625,4.0625,4.0,4.0625,4.0625,800000
1994-05-24,4.25,4.5,4.125,4.25,4.25,27600
1994-05-25,4.25,4.375,4.125,4.25,4.25,11600
1994-05-26,4.25,4.25,4.25,4.25,4.25,0
1994-05-27,4.0,4.0,4.0,4.0,4.0,1200
1994-05-31,4.0,4.0,4.0,4.0,4.0,400
1994-06-01,4.5,4.5,4.5,4.5,4.5,200
1994-06-02,4.0,4.0,4.0,4.0,4.0,200
1994-06-03,4.25,4.25,4.125,4.25,4.25,8800
1994-06-06,4.0,4.0,4.0,4.0,4.0,200
1994-06-07,4.0,4.0,4.0,4.0,4.0,4400
1994-06-08,4.0,4.25,4.0,4.0,4.0,27200
1994-06-09,4.0,4.0,4.0,4.0,4.0,0
1994-06-10,4.0,4.0,4.0,4.0,4.0,0
1994-06-13,4.0,4.0,4.0,4.0,4.0,0
1994-06-14,4.031300067901611,4.25,4.031300067901611,4.031300067901611,4.031300067901611,2400
1994-06-15,4.031300067901611,4.031300067901611,4.031300067901611,4.031300067901611,4.031300067901611,0
1994-06-16,3.875,4.125,3.875,3.875,3.875,10200
1994-06-17,3.875,3.875,3.875,3.875,3.875,0
1994-06-20,4.0,4.25,3.875,4.0,4.0,2600
1994-06-21,4.0,4.0,4.0,4.0,4.0,0
1994-06-22,4.0,4.0,3.875,4.0,4.0,1800
1994-06-23,3.875,3.875,3.875,3.875,3.875,2000
1994-06-24,3.75,4.125,3.75,3.75,3.75,8800
1994-06-27,3.75,3.75,3.75,3.75,3.75,0
1994-06-28,3.75,3.75,3.75,3.75,3.75,0
1994-06-29,3.75,3.75,3.75,3.75,3.75,0
1994-06-30,4.25,4.25,3.75,4.25,4.25,25000
1994-07-01,4.125,4.125,4.125,4.125,4.125,2600
1994-07-05,3.875,4.0625,3.875,3.875,3.875,2600
1994-07-06,3.875,3.875,3.875,3.875,3.875,0
1994-07-07,4.125,4.125,3.875,4.125,4.125,6800
1994-07-08,4.0,4.0,4.0,4.0,4.0,800
1994-07-11,4.0,4.0,3.875,4.0,4.0,1200
1994-07-12,3.875,4.125,3.875,3.875,3.875,55800
1994-07-13,3.625,4.0,3.625,3.625,3.625,10400
1994-07-14,3.9063000679016113,3.9063000679016113,3.625,3.9063000679016113,3.9063000679016113,2400
1994-07-15,4.125,4.125,4.125,4.125,4.125,200
1994-07-18,3.875,4.125,3.75,3.875,3.875,12600
1994-07-19,3.875,4.125,3.875,3.875,3.875,13200
1994-07-20,3.875,3.875,3.875,3.875,3.875,0
1994-07-21,3.6875,3.6875,3.625,3.6875,3.6875,1600
1994-07-22,3.6875,3.6875,3.625,3.6875,3.6875,20400
1994-07-25,3.75,3.75,3.625,3.75,3.75,1400
1994-07-26,3.75,3.75,3.75,3.75,3.75,0
1994-07-27,4.0,4.0,4.0,4.0,4.0,3400
1994-07-28,4.0,4.0,4.0,4.0,4.0,0
1994-07-29,3.828200101852417,4.0,3.828200101852417,3.828200101852417,3.828200101852417,1600
1994-08-01,3.625,3.625,3.625,3.625,3.625,200
1994-08-02,3.5,3.875,3.5,3.5,3.5,14800
1994-08-03,3.8125,3.8125,3.7188000679016113,3.8125,3.8125,48000
1994-08-04,3.6875,3.75,3.6875,3.6875,3.6875,5600
1994-08-05,3.5,3.5,3.5,3.5,3.5,1000
1994-08-08,3.5,3.5,3.5,3.5,3.5,0
1994-08-09,3.375,3.875,3.25,3.375,3.375,14600
1994-08-10,3.625,3.625,3.4375,3.625,3.625,6800
1994-08-11,3.25,3.625,3.25,3.25,3.25,4600
1994-08-12,3.5,3.5625,3.5,3.5,3.5,18200
1994-08-15,3.4375,3.625,3.4375,3.4375,3.4375,24200
1994-08-16,3.3438000679016113,3.625,3.125,3.3438000679016113,3.3438000679016113,14200
1994-08-17,3.5,3.625,3.25,3.5,3.5,6200
1994-08-18,3.3438000679016113,3.625,3.3438000679016113,3.3438000679016113,3.3438000679016113,46400
1994-08-19,3.3438000679016113,3.625,3.3438000679016113,3.3438000679016113,3.3438000679016113,51800
1994-08-22,3.5,3.5,3.5,3.5,3.5,400
1994-08-23,3.25,3.625,3.25,3.25,3.25,1200
1994-08-24,3.5,3.625,3.375,3.5,3.5,13000
1994-08-25,3.4375,3.4375,3.25,3.4375,3.4375,61600
1994-08-26,3.25,3.25,3.25,3.25,3.25,800
1994-08-29,3.5,3.625,3.25,3.5,3.5,67600
1994-08-30,3.25,3.25,3.25,3.25,3.25,1400
1994-08-31,3.25,3.25,3.25,3.25,3.25,0
1994-09-01,3.625,3.625,3.625,3.625,3.625,2000
1994-09-02,3.625,3.625,3.5,3.625,3.625,4200
1994-09-06,3.625,3.625,3.25,3.625,3.625,5600
1994-09-07,3.25,3.625,3.25,3.25,3.25,5200
1994-09-08,3.75,3.75,3.625,3.75,3.75,10400
1994-09-09,3.8125,3.875,3.5,3.8125,3.8125,12800
1994-09-12,3.875,3.875,3.875,3.875,3.875,400
1994-09-13,3.875,3.875,3.875,3.875,3.875,800
1994-09-14,3.375,3.625,3.375,3.375,3.375,400
1994-09-15,3.375,3.375,3.375,3.375,3.375,0
1994-09-16,3.75,3.75,3.5,3.75,3.75,400
1994-09-19,3.75,3.875,3.5,3.75,3.75,71600
1994-09-20,3.75,3.75,3.75,3.75,3.75,0
1994-09-21,3.625,3.75,3.625,3.625,3.625,2400
1994-09-22,3.75,3.875,3.625,3.75,3.75,14400
1994-09-23,3.75,3.75,3.75,3.75,3.75,0
1994-09-26,4.0,4.0,4.0,4.0,4.0,600
1994-09-27,4.0,4.0,3.625,4.0,4.0,1200
1994-09-28,3.625,3.625,3.625,3.625,3.625,3600
1994-09-29,3.6875,3.6875,3.6875,3.6875,3.6875,3600
1994-09-30,3.6875,3.6875,3.6875,3.6875,3.6875,0
1994-10-03,3.625,3.625,3.625,3.625,3.625,5200
1994-10-04,3.625,3.625,3.625,3.625,3.625,0
1994-10-05,3.75,3.75,3.375,3.75,3.75,62400
1994-10-06,3.5,3.5625,3.4688000679016113,3.5,3.5,38200
1994-10-07,3.5,3.5,3.5,3.5,3.5,0
1994-10-10,3.375,3.375,3.375,3.375,3.375,200
1994-10-11,3.5,3.5,3.4375,3.5,3.5,7000
1994-10-12,3.5,3.6484999656677246,3.4375,3.5,3.5,6800
1994-10-13,3.375,3.375,3.375,3.375,3.375,200
1994-10-14,3.375,3.375,3.375,3.375,3.375,0
1994-10-17,3.6875,3.6875,3.6875,3.6875,3.6875,4000
1994-10-18,3.6875,3.6875,3.6875,3.6875,3.6875,0
1994-10-19,3.6875,3.6875,3.6875,3.6875,3.6875,0
1994-10-20,3.6875,3.6875,3.6875,3.6875,3.6875,0
1994-10-21,3.375,3.5,3.375,3.375,3.375,85600
1994-10-24,3.625,3.625,3.1875,3.625,3.625,188800
1994-10-25,3.125,3.625,2.875,3.125,3.125,248600
1994-10-26,3.25,3.25,3.0,3.25,3.25,7800
1994-10-27,3.0,3.25,3.0,3.0,3.0,39400
1994-10-28,2.875,3.0,2.875,2.875,2.875,40600
1994-10-31,3.25,3.25,2.875,3.0,3.0,71600
1994-11-01,3.25,3.25,2.875,2.875,2.875,12600
1994-11-02,3.0,3.0,3.0,3.0,3.0,600
1994-11-03,2.875,2.875,2.75,2.875,2.875,14200
1994-11-04,2.875,2.875,2.625,2.875,2.875,2800
1994-11-07,2.875,2.875,2.875,2.875,2.875,600
1994-11-08,2.630000114440918,2.875,2.562999963760376,2.625,2.625,392200
1994-11-09,2.625,2.625,2.625,2.625,2.625,0
1994-11-10,2.880000114440918,3.125,2.875,3.125,3.125,8400
1994-11-11,3.125,3.125,3.0,3.0,3.0,15000
1994-11-14,2.75,2.75,2.75,2.75,2.75,10000
1994-11-15,2.875,2.875,2.812999963760376,2.875,2.875,50000
1994-11-16,3.125,3.125,2.937999963760376,3.0,3.0,14400
1994-11-17,2.940000057220459,3.0,2.875,3.0,3.0,34000
1994-11-18,3.125,3.125,3.125,3.125,3.125,600
1994-11-21,3.130000114440918,3.25,3.0,3.25,3.25,13600
1994-11-22,3.187999963760376,3.187999963760376,3.125,3.187999963760376,3.187999963760376,34000
1994-11-23,3.25,3.25,3.125,3.125,3.125,13600
1994-11-25,3.25,4.0,3.25,3.875,3.875,83800
1994-11-28,4.125,4.125,3.75,3.937999963760376,3.937999963760376,207600
1994-11-29,4.130000114440918,4.25,3.875,4.125,4.125,55800
1994-11-30,4.25,4.25,3.875,4.25,4.25,36600
1994-12-01,4.25,4.25,3.875,4.125,4.125,18400
1994-12-02,4.125,4.125,3.875,4.125,4.125,11400
1994-12-05,4.125,4.125,3.875,4.063000202178955,4.063000202178955,28000
1994-12-06,4.125,4.125,3.875,4.0,4.0,111000
1994-12-07,3.880000114440918,4.125,3.875,3.875,3.875,6600
1994-12-08,4.0,4.125,3.875,4.125,4.125,25000
1994-12-09,4.125,4.125,3.75,3.75,3.75,85800
1994-12-12,3.5,3.5,2.5,2.875,2.875,208600
1994-12-13,2.880000114440918,3.0,2.625,2.875,2.875,11800
1994-12-14,3.0,3.0,2.75,2.75,2.75,22000
1994-12-15,3.0,3.0,2.75,3.0,3.0,41800
1994-12-16,3.0,3.0,2.812999963760376,3.0,3.0,4800
1994-12-19,3.0,3.0,2.75,2.75,2.75,38400
1994-12-20,2.75,3.0,2.625,3.0,3.0,81400
1994-12-21,2.630000114440918,3.0,2.625,3.0,3.0,28400
1994-12-22,2.875,2.875,2.625,2.75,2.75,19200
1994-12-23,2.75,2.75,2.5,2.5,2.5,2200
1994-12-27,2.5,2.75,2.5,2.625,2.625,29600
1994-12-28,2.625,2.625,2.5,2.5,2.5,22400
1994-12-29,2.5,2.562999963760376,2.25,2.437999963760376,2.437999963760376,98200
1994-12-30,2.380000114440918,2.75,2.375,2.75,2.75,25400
1995-01-03,2.75,2.75,2.375,2.5940001010894775,2.5940001010894775,6600
1995-01-04,2.5940001010894775,2.5940001010894775,2.5940001010894775,2.5940001010894775,2.5940001010894775,0
1995-01-05,2.5940001010894775,2.5940001010894775,2.5940001010894775,2.5940001010894775,2.5940001010894775,0
1995-01-06,2.75,2.75,2.5,2.75,2.75,23000
1995-01-09,2.75,2.75,2.5,2.625,2.625,12200
1995-01-10,2.630000114440918,2.687999963760376,2.5,2.5,2.5,5800
1995-01-11,2.75,2.75,2.75,2.75,2.75,1000
1995-01-12,2.75,2.75,2.625,2.625,2.625,10800
1995-01-13,2.630000114440918,2.75,2.625,2.75,2.75,3200
1995-01-16,2.625,2.625,2.625,2.625,2.625,200
1995-01-17,3.0,3.0,2.625,2.625,2.625,1400
1995-01-18,2.625,2.625,2.625,2.625,2.625,3000
1995-01-19,2.630000114440918,2.75,2.625,2.75,2.75,12200
1995-01-20,2.75,2.75,2.75,2.75,2.75,0
1995-01-23,3.0,3.0,2.625,2.625,2.625,600
1995-01-24,2.819999933242798,2.875,2.625,2.875,2.875,5200
1995-01-25,2.630000114440918,2.875,2.625,2.875,2.875,1000
1995-01-26,2.625,2.625,2.625,2.625,2.625,1200
1995-01-27,2.875,2.875,2.75,2.75,2.75,1600
1995-01-30,2.875,2.875,2.625,2.625,2.625,800
1995-01-31,2.625,2.625,2.625,2.625,2.625,0
1995-02-01,2.625,2.625,2.625,2.625,2.625,10000
1995-02-02,2.625,2.625,2.625,2.625,2.625,0
1995-02-03,2.875,2.875,2.625,2.625,2.625,4800
1995-02-06,2.875,2.875,2.5,2.5,2.5,15200
1995-02-07,2.5,2.5,2.5,2.5,2.5,400
1995-02-08,2.75,2.75,2.5,2.5,2.5,4400
1995-02-09,2.75,2.75,2.5,2.5,2.5,12000
1995-02-10,2.75,2.75,2.562999963760376,2.562999963760376,2.562999963760376,8600
1995-02-13,2.625,2.625,2.5,2.5,2.5,3000
1995-02-14,2.380000114440918,2.625,2.375,2.5,2.5,5000
1995-02-15,2.380000114440918,2.75,2.25,2.5,2.5,33000
1995-02-16,2.5,2.5,2.5,2.5,2.5,0
1995-02-17,2.3499999046325684,2.5,2.3440001010894775,2.5,2.5,20000
1995-02-21,2.25,2.375,2.25,2.25,2.25,1400
1995-02-22,2.5,2.5,1.937999963760376,2.25,2.25,48200
1995-02-23,2.25,2.25,2.25,2.25,2.25,5800
1995-02-24,2.130000114440918,2.375,2.125,2.375,2.375,65600
1995-02-27,2.25,2.375,2.25,2.375,2.375,10400
1995-02-28,2.130000114440918,2.625,2.125,2.312999963760376,2.312999963760376,6000
1995-03-01,2.625,2.625,2.5,2.5,2.5,2000
1995-03-02,2.625,2.625,2.625,2.625,2.625,200
1995-03-03,2.625,2.625,2.625,2.625,2.625,200
1995-03-06,2.125,2.125,2.125,2.125,2.125,400
1995-03-07,2.130000114440918,2.25,2.125,2.25,2.25,400
1995-03-08,2.130000114440918,2.625,2.125,2.125,2.125,1000
1995-03-09,2.125,2.125,2.125,2.125,2.125,1200
1995-03-10,2.125,2.125,2.125,2.125,2.125,1200
1995-03-13,2.125,2.125,2.125,2.125,2.125,0
1995-03-14,2.125,2.125,2.125,2.125,2.125,0
1995-03-15,2.130000114440918,2.437999963760376,2.125,2.312999963760376,2.312999963760376,27400
1995-03-16,2.312999963760376,2.312999963760376,2.312999963760376,2.312999963760376,2.312999963760376,800
1995-03-17,2.2200000286102295,2.375,2.187999963760376,2.375,2.375,44000
1995-03-20,2.130000114440918,2.25,2.125,2.125,2.125,2400
1995-03-21,2.5,2.5,2.125,2.125,2.125,4200
1995-03-22,2.25,2.375,2.0940001010894775,2.25,2.25,142200
1995-03-23,2.130000114440918,2.25,2.125,2.25,2.25,76600
1995-03-24,2.130000114440918,2.5,2.125,2.125,2.125,17400
1995-03-27,2.125,2.125,2.125,2.125,2.125,0
1995-03-28,2.125,2.125,2.125,2.125,2.125,1200
1995-03-29,2.1500000953674316,2.5,2.125,2.125,2.125,55000
1995-03-30,2.375,2.375,2.125,2.125,2.125,800
1995-03-31,2.125,2.125,2.125,2.125,2.125,4400
1995-04-03,2.1500000953674316,2.5,2.125,2.5,2.5,67200
1995-04-04,2.437999963760376,2.437999963760376,2.125,2.25,2.25,54600
1995-04-05,2.125,2.125,2.125,2.125,2.125,40000
1995-04-06,2.125,2.125,2.125,2.125,2.125,0
1995-04-07,2.125,2.125,2.125,2.125,2.125,200
1995-04-10,2.190000057220459,2.5,2.187999963760376,2.25,2.25,39800
1995-04-11,2.5,2.625,2.375,2.5,2.5,20400
1995-04-12,2.75,2.75,2.375,2.5,2.5,34400
1995-04-13,2.25,2.312999963760376,2.25,2.312999963760376,2.312999963760376,2200
1995-04-17,2.25,2.5,2.25,2.25,2.25,5000
1995-04-18,2.25,2.375,2.25,2.375,2.375,22000
1995-04-19,2.25,2.375,2.25,2.375,2.375,20400
1995-04-20,2.375,2.375,2.375,2.375,2.375,0
1995-04-21,2.25,2.25,2.25,2.25,2.25,7000
1995-04-24,2.130000114440918,2.375,2.125,2.187999963760376,2.187999963760376,12000
1995-04-25,2.25,2.25,2.25,2.25,2.25,2000
1995-04-26,2.130000114440918,2.25,2.125,2.25,2.25,2600
