Date,Open,High,Low,Close,Adj Close,Volume
1996-10-23,17.4375,17.625,17.0,17.4375,12.450593948364258,7996800
1996-10-24,17.0,17.4375,17.0,17.0,12.138212203979492,1786400
1996-10-25,17.1875,17.375,17.0,17.1875,12.272089004516602,631200
1996-10-28,17.0,17.5,17.0,17.0,12.138212203979492,320000
1996-10-29,17.0,17.0625,17.0,17.0,12.138212203979492,496800
1996-10-30,17.0,17.0625,17.0,17.0,12.138212203979492,705600
1996-10-31,17.1875,17.25,17.0,17.1875,12.272089004516602,635200
1996-11-01,17.0625,17.125,17.0625,17.0625,12.182838439941406,512600
1996-11-04,16.4375,17.0625,16.375,16.4375,11.736583709716797,494600
1996-11-05,16.1875,16.625,16.0,16.1875,11.558074951171875,714600
1996-11-06,15.9375,16.25,15.5,15.9375,11.379573822021484,529400
1996-11-07,15.4375,15.75,15.125,15.4375,11.022565841674805,297400
1996-11-08,14.4375,15.3125,14.3125,14.4375,10.308555603027344,527000
1996-11-11,14.75,14.8125,14.0,14.75,10.531682968139648,395400
1996-11-12,14.75,15.1875,14.625,14.75,10.531682968139648,454400
1996-11-13,14.5,14.75,14.4375,14.5,10.353178024291992,713200
1996-11-14,13.875,14.4375,13.875,13.875,9.90692138671875,46000
1996-11-15,13.5,13.875,13.375,13.5,9.639171600341797,368400
1996-11-18,13.1875,13.5,13.1875,13.1875,9.416040420532227,122800
1996-11-19,13.375,13.5,13.1875,13.375,9.54991626739502,277000
1996-11-20,12.5625,13.375,12.5,12.5625,8.969779014587402,646400
1996-11-21,12.0,12.5,12.0,12.0,8.568148612976074,113000
1996-11-22,12.375,12.625,12.0,12.375,8.83590316772461,107400
1996-11-25,11.875,12.375,11.875,11.875,8.478896141052246,53200
1996-11-26,12.0,12.125,11.875,12.0,8.568148612976074,595200
1996-11-27,11.75,12.0,11.75,11.75,8.3896484375,239400
1996-11-29,11.5625,11.75,11.5625,11.5625,8.255765914916992,121000
1996-12-02,11.0,11.5,11.0,11.0,7.854135990142822,193400
1996-12-03,10.75,11.0,10.75,10.75,7.675632953643799,126000
1996-12-04,11.625,11.625,10.6875,11.625,8.300395011901855,535400
1996-12-05,11.8125,12.0,11.625,11.8125,8.434270858764648,168000
1996-12-06,11.6875,11.6875,11.5625,11.6875,8.34501838684082,40800
1996-12-09,11.5,11.8125,11.5,11.5,8.211145401000977,37800
