Date,Open,High,Low,Close,Adj Close,Volume
2018-12-28,587.5,642.5,507.5,542.0,542.0,184
2018-12-31,570.1799926757812,713.0,570.1799926757812,713.0,713.0,47
2019-01-02,713.0,713.0,713.0,713.0,713.0,0
2019-01-03,750.0,1337.5,750.0,1333.800048828125,1333.800048828125,288
2019-01-04,1605.0,4112.5,1605.0,2703.0,2703.0,396
2019-01-07,3000.0048828125,4200.0,3000.0,3115.5,3115.5,206
2019-01-08,3845.0,4250.0,3493.110107421875,4250.0,4250.0,226
2019-01-09,4352.5,11000.0,4352.5,11000.0,11000.0,226
2019-01-10,11400.0,27500.0,3750.0,7850.0,7850.0,586
2019-01-11,7834.5,7834.5,4310.0,4553.0,4553.0,166
2019-01-14,4800.0,5350.0,4800.0,5250.0,5250.0,83
2019-01-15,9245.0,10000.0,6500.5,7350.0,7350.0,174
2019-01-16,7350.0,7350.0,6500.0,6950.0,6950.0,91
2019-01-17,6942.0,6942.0,5950.0,6560.0,6560.0,121
2019-01-18,7000.0,8250.5,7000.0,7450.0,7450.0,73
2019-01-22,6520.5,6520.5,3800.0,5000.0,5000.0,382
2019-01-23,5076.0,5973.5,4400.0,4400.0,4400.0,197
2019-01-24,4500.0,4725.0,4500.0,4725.0,4725.0,64
2019-01-25,4986.31005859375,5500.0,4986.31005859375,5500.0,5500.0,65
2019-01-28,5981.64990234375,6500.0,5933.0,6500.0,6500.0,117
2019-01-29,8460.0,10235.0,7100.0,7100.0,7100.0,89
2019-01-30,8800.0,9350.0,7920.25,9000.0,9000.0,108
2019-01-31,10000.0,14890.0,9988.5,14890.0,14890.0,193
2019-02-01,16500.0,16500.0,15420.0,15420.0,15420.0,81
2019-02-04,10010.0,12500.0,10010.0,12500.0,12500.0,167
2019-02-05,13051.5,13051.5,10946.25,11500.0,11500.0,84
2019-02-06,8440.0,8440.0,5737.5,5950.0,5950.0,394
2019-02-07,6250.0,6331.5,5971.2451171875,6018.75,6018.75,144
2019-02-08,5987.5,6250.0,5987.5,6075.0,6075.0,110
2019-02-11,6199.75,6199.75,5500.0,6000.0,6000.0,149
2019-02-12,6250.0,6250.0,5670.5,5670.5,5670.5,78
2019-02-13,5750.0,5750.0,4750.0,4792.5,4792.5,192
2019-02-14,4519.0,4519.0,2423.0,2510.0,2510.0,685
2019-02-15,2250.0,2508.0,1750.0,2000.0,2000.0,1042
2019-02-19,2050.0,2765.0,1897.5,1931.0849609375,1931.0849609375,523
2019-02-20,2028.5,2250.0,1721.31005859375,1930.5,1930.5,1380
2019-02-21,2000.0,2012.5,1777.5,2007.75,2007.75,338
2019-02-22,1950.0,1950.0,1800.0,1925.0,1925.0,255
2019-02-25,1975.0,2025.0,1828.1650390625,1895.0,1895.0,99
2019-02-26,1900.5,1900.5,1787.5,1831.5,1831.5,219
2019-02-27,1777.925048828125,1777.925048828125,1550.7449951171875,1600.0,1600.0,425
2019-02-28,1444.5,1496.5,1331.75,1477.0,1477.0,399
2019-03-01,1455.5,1467.75,1350.0,1387.25,1387.25,99
2019-03-04,1477.0,1700.0,1450.0,1675.0,1675.0,375
2019-03-05,1750.0,1799.5,1475.0,1515.0,1515.0,158
2019-03-06,1507.5,1772.5,1507.5,1750.0,1750.0,215
2019-03-07,1825.0,1825.0,1606.0,1800.0,1800.0,314
2019-03-08,1772.0,2187.5,1700.0,2005.0,2005.0,466
2019-03-11,2006.5,2557.739990234375,2006.5,2258.0,2258.0,464
2019-03-12,2348.2099609375,2691.0,2348.2099609375,2624.0,2624.0,753
2019-03-13,2700.0,3125.0,2655.25,3075.0,3075.0,973
2019-03-14,3360.5,3637.965087890625,3200.0,3300.0,3300.0,967
2019-03-15,3400.0,3575.0,1914.0,2677.5,2677.5,1163
2019-03-18,2688.5,2688.5,2300.0048828125,2517.75,2517.75,202
2019-03-19,2515.0,2515.0,2002.8599853515625,2075.0,2075.0,408
2019-03-20,1850.0,1850.0,1364.5,1391.0,1391.0,1602
2019-03-21,1596.5,2224.5,1500.5,2151.0,2151.0,1707
2019-03-22,2349.0,2474.949951171875,2000.0,2224.0,2224.0,1241
2019-03-25,2200.0,2200.0,1760.5,1832.5,1832.5,1041
2019-03-26,1899.5,1899.5,1700.0,1745.0,1745.0,705
2019-03-27,1675.0,1675.0,710.0,850.0,850.0,22871
2019-03-28,925.0,925.0,724.0,725.5,725.5,6641
