Date,Open,High,Low,Close,Adj Close,Volume
2021-11-11,601.0,650.0,450.0,519.0,519.0,26003
2021-11-12,502.0,569.0,502.0,550.0,550.0,26849
2021-11-15,543.0,577.0,535.0,547.0,547.0,20177
2021-11-16,550.0,590.0,550.0,558.0,558.0,11935
2021-11-17,544.0,559.0,504.0,517.0,517.0,17894
2021-11-18,518.0,557.0,442.0,456.0,456.0,46186
2021-11-19,455.0,508.0,422.0,461.0,461.0,24155
2021-11-22,442.0,448.0,331.010009765625,370.0,370.0,22222
2021-11-23,373.0,424.0,334.010009765625,382.0,382.0,11631
2021-11-24,361.0,379.0,343.0,367.0,367.0,3161
2021-11-26,348.0,372.0,338.0,349.0,349.0,2212
2021-11-29,345.0,380.0,345.0,377.0,377.0,5061
2021-11-30,372.0,394.510009765625,333.0,356.0,356.0,10693
2021-12-01,366.0,413.989990234375,346.5,355.0,355.0,12598
2021-12-02,354.0,415.0,351.0,404.5,404.5,11006
2021-12-03,425.0,454.0,401.0,418.0,418.0,13334
2021-12-06,406.0,448.989990234375,386.0,436.0,436.0,14127
2021-12-07,448.0,492.0,440.0,468.0,468.0,22658
2021-12-08,481.0,490.0,455.010009765625,470.0,470.0,13009
2021-12-09,460.0,509.0,430.0,458.0,458.0,21613
2021-12-10,454.7200012207031,480.0,432.0,440.0,440.0,6892
2021-12-13,436.0,465.0,425.0,448.0,448.0,9698
2021-12-14,444.0,467.5,433.0,459.0,459.0,5310
2021-12-15,451.0,456.0,433.010009765625,447.0,447.0,2501
2021-12-16,444.0,453.42999267578125,435.0,444.0,444.0,1358
2021-12-17,437.0,454.0,427.989990234375,428.0,428.0,3389
2021-12-20,430.0,445.0,421.0,437.0,437.0,4652
2021-12-21,440.0,447.0,421.010009765625,426.0,426.0,6635
2021-12-22,428.0,442.989990234375,412.0,422.0,422.0,6025
2021-12-23,416.0,430.0,395.0,401.0,401.0,6275
2021-12-27,414.0,414.0,375.0,382.0,382.0,4046
2021-12-28,381.0,402.0,370.0400085449219,394.0,394.0,5786
2021-12-29,390.0,391.0,378.0,385.0,385.0,1484
2021-12-30,381.0,394.0,379.0,381.0,381.0,1378
2021-12-31,378.0,397.0,365.0,388.0,388.0,5151
2022-01-03,387.0,407.0,380.0,405.0,405.0,4932
2022-01-04,407.0,407.0,396.0,400.0,400.0,1260
2022-01-05,401.0,406.0,378.0,383.0,383.0,2606
2022-01-06,383.0,383.7200012207031,341.0,349.0,349.0,4614
2022-01-07,349.0,349.0,316.0,321.0,321.0,3384
2022-01-10,319.0,319.0,263.0,283.0,283.0,10590
2022-01-11,286.0,350.0,286.0,311.0,311.0,7579
2022-01-12,306.0,319.0,295.0,317.0,317.0,7045
2022-01-13,325.0,328.0,300.0,305.0,305.0,3346
2022-01-14,300.0,304.0,290.0,297.0,297.0,1407
2022-01-18,311.0,318.0,280.0,290.0,290.0,10433
2022-01-19,292.0,306.0,276.010009765625,288.0,288.0,7809
2022-01-20,294.0,304.0,285.0,288.0,288.0,9394
2022-01-21,276.0,289.989990234375,251.0,255.0,255.0,6174
2022-01-24,253.0,253.0,201.0,222.0,222.0,6218
2022-01-25,214.0,223.0,209.42999267578125,217.0,217.0,1457
2022-01-26,224.0,224.0,186.0,188.0,188.0,5362
2022-01-27,188.0,211.0,151.0,157.0,157.0,15210
2022-01-28,151.0,157.0,146.0,152.0,152.0,4307
2022-01-31,155.0,175.0,153.0,167.0,167.0,6677
2022-02-01,169.0,180.72000122070312,165.0,171.0,171.0,1756
2022-02-02,173.0,178.0,160.0,165.0,165.0,2449
2022-02-03,160.0,166.0,154.5,157.0,157.0,1687
2022-02-04,157.0,170.72999572753906,156.0,167.0,167.0,1023
2022-02-07,160.0,173.36000061035156,156.0,159.0,159.0,4035
2022-02-08,156.0,163.99000549316406,153.0,156.0,156.0,1023
2022-02-09,155.0,164.0,153.0,163.0,163.0,1410
2022-02-10,156.0,165.0,153.0,156.0,156.0,1380
2022-02-11,158.0,160.0,137.0,141.0,141.0,2352
2022-02-14,139.0,141.0,132.0,136.0,136.0,999
2022-02-15,137.0,147.0,137.0,143.0,143.0,521
2022-02-16,144.0,145.0,136.5,142.0,142.0,1495
2022-02-17,136.00999450683594,146.0,135.0,135.0,135.0,1599
2022-02-18,137.5,138.0,127.0,138.0,138.0,2660
2022-02-22,130.0,137.0,130.0,131.0,131.0,1233
2022-02-23,136.0,137.0,132.0,132.5,132.5,781
2022-02-24,124.0,136.0,123.0,134.0,134.0,599
2022-02-25,132.0,135.0,131.0,134.0,134.0,584
2022-02-28,131.0,141.99000549316406,131.0,138.0,138.0,349
2022-03-01,137.0,140.0,135.0,136.0,136.0,870
2022-03-02,141.99000549316406,144.07000732421875,136.00999450683594,143.0,143.0,618
2022-03-03,139.00999450683594,141.5,136.0,136.88999938964844,136.88999938964844,343
2022-03-04,131.0,139.97999572753906,131.0,138.99000549316406,138.99000549316406,889
2022-03-07,136.0,138.0,134.0,135.0,135.0,892
2022-03-08,131.0,136.99000549316406,130.00999450683594,133.0,133.0,436
2022-03-09,138.5,154.80999755859375,134.0,148.66000366210938,148.66000366210938,1257
2022-03-10,144.0,168.0,138.0,159.0,159.0,2820
2022-03-11,163.0,163.0,141.0,148.5,148.5,1411
2022-03-14,147.0,166.0,142.0,155.0,155.0,1360
2022-03-15,150.0,167.0,148.0,151.8300018310547,151.8300018310547,548
2022-03-16,153.0,153.99000549316406,145.0,152.0,152.0,492
2022-03-17,148.0,166.99000549316406,145.0,163.6199951171875,163.6199951171875,3287
2022-03-18,166.0,200.0,162.0,164.0,164.0,7876
2022-03-21,164.0,172.0,157.0,165.52000427246094,165.52000427246094,1605
2022-03-22,171.0,178.75999450683594,161.00999450683594,167.99000549316406,167.99000549316406,595
2022-03-23,161.0,167.41000366210938,156.0,158.97999572753906,158.97999572753906,549
2022-03-24,156.0,166.99000549316406,147.0,154.0,154.0,1185
2022-03-25,153.39999389648438,164.19000244140625,148.0,154.5500030517578,154.5500030517578,387
2022-03-28,156.0,175.92999267578125,154.0,167.2899932861328,167.2899932861328,2379
2022-03-29,165.0,165.99000549316406,157.0,162.0,162.0,479
2022-03-30,161.3300018310547,164.0,156.0,164.0,164.0,226
2022-03-31,163.0,165.0,155.2899932861328,160.99000549316406,160.99000549316406,468
2022-04-01,160.0,170.0,155.6999969482422,168.0,168.0,657
2022-04-04,156.0,166.99000549316406,155.0,162.0,162.0,233
2022-04-05,158.0,167.0,155.0,158.0,158.0,1098
2022-04-06,155.0,162.0,153.0,160.0,160.0,530
2022-04-07,158.5,162.0,155.0,158.0,158.0,292
2022-04-08,157.10000610351562,157.99000549316406,155.0,156.0,156.0,402
2022-04-11,155.00999450683594,167.0,154.0,156.99000549316406,156.99000549316406,480
2022-04-12,157.0,163.0,150.0,157.0,157.0,1726
2022-04-13,155.0,167.0,154.0,162.0,162.0,877
2022-04-14,159.1999969482422,164.91000366210938,155.5,158.5,158.5,841
2022-04-18,155.0,166.99000549316406,141.0,151.99000549316406,151.99000549316406,3395
2022-04-19,148.0,155.00999450683594,147.0,149.0,149.0,570
2022-04-20,145.00999450683594,151.0,142.0,148.6199951171875,148.6199951171875,639
2022-04-21,147.0,161.0,140.0,144.99000549316406,144.99000549316406,1634
2022-04-22,143.0,146.0,140.0,145.0,145.0,505
2022-04-25,142.0,157.99000549316406,138.0,140.0,140.0,357
2022-04-26,137.0,148.99000549316406,137.0,143.0,143.0,561
2022-04-27,142.38999938964844,185.0,142.38999938964844,148.5,148.5,5103
2022-04-28,143.89999389648438,155.0,143.89999389648438,154.0,154.0,414
2022-04-29,151.0,155.85000610351562,149.0,153.0,153.0,408
2022-05-02,150.0,152.0,142.0,149.0,149.0,839
2022-05-03,145.0,160.0,144.0,160.0,160.0,702
2022-05-04,156.0,175.0,156.0,170.0,170.0,1857
2022-05-05,170.0,177.5,162.0,171.0,171.0,963
2022-05-06,166.52000427246094,174.0,164.75,172.0,172.0,301
2022-05-09,170.6199951171875,174.9600067138672,163.4199981689453,169.0,169.0,1104
2022-05-10,176.9499969482422,197.5,169.0,191.0,191.0,1833
2022-05-11,195.0,208.0,153.0,158.0,158.0,2091
2022-05-12,151.0,167.0,151.0,160.0,160.0,463
2022-05-13,160.0,166.99000549316406,152.0,163.99000549316406,163.99000549316406,377
2022-05-16,160.0,170.0,155.52000427246094,163.0,163.0,735
2022-05-17,171.0,172.0,160.1999969482422,164.0,164.0,367
2022-05-18,168.99000549316406,168.99000549316406,149.0,161.0,161.0,730
2022-05-19,157.0,178.0,157.0,171.0,171.0,303
2022-05-20,167.0,167.99000549316406,164.27000427246094,165.0,165.0,88
2022-05-23,168.0,175.0,160.0,174.97999572753906,174.97999572753906,313
2022-05-24,181.0,187.0,166.72000122070312,180.0,180.0,120
2022-05-25,190.0,190.0,169.0,169.0,169.0,167
2022-05-26,177.75,181.0,163.0,170.0,170.0,656
2022-05-27,165.0,172.0,162.0,167.0,167.0,236
2022-05-31,180.0,180.0,161.0,170.0,170.0,142
2022-06-01,178.0,178.0,163.0,171.0,171.0,91
2022-06-02,171.0,186.0,161.0,183.0,183.0,519
2022-06-03,190.0,190.0,167.0,179.0,179.0,1164
2022-06-06,176.0,182.0,160.0,181.0,181.0,387
2022-06-07,179.0,188.5399932861328,166.00999450683594,188.0,188.0,398
2022-06-08,188.0,188.0,182.0,184.0,184.0,74
2022-06-09,175.0,184.4499969482422,174.0,184.0,184.0,229
2022-06-10,187.99000549316406,187.99000549316406,168.0,170.0,170.0,332
2022-06-13,191.0,191.0,164.6199951171875,171.99000549316406,171.99000549316406,648
2022-06-14,168.0,179.0,166.1199951171875,175.0,175.0,96
2022-06-15,174.0,197.0,174.0,185.0,185.0,424
2022-06-16,194.0,214.72000122070312,185.0,190.0,190.0,1133
2022-06-17,195.0,247.0,188.0,240.0,240.0,3347
2022-06-21,275.0,282.0,230.0,232.0,232.0,3096
2022-06-22,216.0,231.99000549316406,205.0,209.0,209.0,1135
2022-06-23,228.47000122070312,232.0,205.0,218.0,218.0,943
2022-06-24,227.0,239.57000732421875,215.0,215.0,215.0,697
2022-06-27,207.0,224.99000549316406,205.0,216.0,216.0,531
2022-06-28,214.0,226.99000549316406,205.0,216.0,216.0,232
2022-06-29,207.0,220.3300018310547,200.0,201.0,201.0,385
2022-06-30,200.0,202.0,179.0,195.0,195.0,659
2022-07-01,194.99000549316406,205.99000549316406,184.0,192.0,192.0,425
2022-07-05,185.0,195.0,184.00999450683594,191.0,191.0,133
2022-07-06,191.00999450683594,196.00999450683594,184.00999450683594,185.0,185.0,204
2022-07-07,189.0,203.0,180.00999450683594,193.0,193.0,888
2022-07-08,203.0,207.0,191.0,194.0,194.0,178
2022-07-11,191.0,207.99000549316406,190.0,206.0,206.0,515
2022-07-12,197.0,197.0,185.0,192.0,192.0,366
