Date,Open,High,Low,Close,Adj Close,Volume
2016-09-23,35.0,35.0,35.0,35.0,35.0,25
2016-09-26,45.0,45.0,45.0,45.0,45.0,2
2016-09-27,30.0,30.0,30.0,30.0,30.0,27
2016-09-28,30.0,30.0,30.0,30.0,30.0,0
2016-09-29,30.0,30.0,30.0,30.0,30.0,0
2016-09-30,30.0,30.0,30.0,30.0,30.0,0
2016-10-03,30.0,30.0,30.0,30.0,30.0,0
2016-10-04,30.0,30.0,30.0,30.0,30.0,0
2016-10-05,30.0,30.0,30.0,30.0,30.0,0
2016-10-06,30.0,30.0,30.0,30.0,30.0,0
2016-10-07,30.0,30.0,30.0,30.0,30.0,0
2016-10-10,30.0,30.0,30.0,30.0,30.0,0
2016-10-11,30.0,30.0,30.0,30.0,30.0,0
2016-10-12,30.0,30.0,30.0,30.0,30.0,0
2016-10-13,30.0,30.0,30.0,30.0,30.0,0
2016-10-14,30.0,30.0,30.0,30.0,30.0,0
2016-10-17,30.0,30.0,30.0,30.0,30.0,0
2016-10-18,30.0,30.0,30.0,30.0,30.0,0
2016-10-19,30.0,30.0,30.0,30.0,30.0,0
2016-10-20,30.0,30.0,30.0,30.0,30.0,0
2016-10-21,30.0,30.0,30.0,30.0,30.0,0
2016-10-24,30.0,30.0,30.0,30.0,30.0,0
2016-10-25,30.0,30.0,30.0,30.0,30.0,0
2016-10-26,30.0,30.0,30.0,30.0,30.0,0
2016-10-27,30.0,30.0,30.0,30.0,30.0,0
2016-10-28,30.0,30.0,30.0,30.0,30.0,0
2016-10-31,30.0,30.0,30.0,30.0,30.0,0
2016-11-01,30.0,30.0,30.0,30.0,30.0,0
2016-11-02,30.0,30.0,30.0,30.0,30.0,0
2016-11-03,30.0,30.0,30.0,30.0,30.0,0
2016-11-04,30.0,30.0,30.0,30.0,30.0,0
2016-11-07,30.0,30.0,30.0,30.0,30.0,0
2016-11-08,30.0,30.0,30.0,30.0,30.0,0
2016-11-09,30.0,30.0,30.0,30.0,30.0,0
2016-11-10,30.0,30.0,30.0,30.0,30.0,0
2016-11-11,30.0,30.0,30.0,30.0,30.0,0
2016-11-14,30.0,30.0,30.0,30.0,30.0,0
2016-11-15,30.0,30.0,30.0,30.0,30.0,0
2016-11-16,30.0,30.0,30.0,30.0,30.0,0
2016-11-17,30.0,30.0,30.0,30.0,30.0,0
2016-11-18,30.0,30.0,30.0,30.0,30.0,0
2016-11-21,30.0,30.0,30.0,30.0,30.0,0
2016-11-22,30.0,30.0,30.0,30.0,30.0,0
2016-11-23,30.0,30.0,30.0,30.0,30.0,0
2016-11-25,30.0,30.0,30.0,30.0,30.0,0
2016-11-28,30.0,30.0,30.0,30.0,30.0,0
2016-11-29,30.0,30.0,30.0,30.0,30.0,0
2016-11-30,30.0,30.0,30.0,30.0,30.0,0
2016-12-01,30.0,30.0,30.0,30.0,30.0,0
2016-12-02,30.0,30.0,30.0,30.0,30.0,0
2016-12-05,30.0,30.0,30.0,30.0,30.0,0
2016-12-06,30.0,30.0,30.0,30.0,30.0,0
2016-12-07,30.0,30.0,30.0,30.0,30.0,0
2016-12-08,30.0,30.0,30.0,30.0,30.0,0
2016-12-09,30.0,30.0,30.0,30.0,30.0,0
2016-12-12,30.0,30.0,30.0,30.0,30.0,0
2016-12-13,30.0,30.0,30.0,30.0,30.0,0
